CantoChorID#,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,5,6,23,24,25,26,28,30,31,32,33,34,35,36,37,Instrument?,"Instruments (a=aerophone,c=chordophone,i=i,m=membranophone)",Function,Ritual,Function notes,Nothing
746,d,a,c,a,0,1,0,e,d,0.5,b,0.5,0.5,fe,0.5,0.5,0,,,,0.5,0.5,0.5,d,a,,0.75,0.5,1,0.6,0.25,1,1,1,1,0.5,0.333333333,0.75,1,0.5,0.5,N,,,,,
899,d,a,c,a,0,1,0,e,d,0.5,b,0.5,1,f,0.5,0,0,,,,0.5,0.5,0,c,c,0,0.5,0.75,0.75,0.4,0.25,1,1,1,1,0.5,0.333333333,0.5,0.5,0.5,0.5,N,,,,,
74,a,,,,,0,0,ba,,,,0,0.5,ba,0,1,1,a,0,ac,0,1,0,db,a,,0.5,0.25,1,0,0.5,0,1,1,1,0.5,0.666666667,0.75,1,1,1,N,,Ceremonial,Calendrical,,
75,a,,,,,1,1,e,e,0.5,b,0.5,1,fc,0.5,1,1,c,1,ca,1,1,0,b,a,,0.75,0.75,0.75,0.2,0.5,0,0.333333333,1,1,0.5,0.666666667,1,1,0.75,1,N,,Drinking,Non-ritual,,
76,d,a,c,b,0,1,0.5,e,e,0.5,b,0.5,0.5,cf,0.5,0,1,c,1,ac,1,0.5,0,bd,c,0.5,0.75,1,1,0.4,0.5,1,1,1,1,0.5,0.666666667,0.75,1,0.75,0.5,N,,Ceremonial,Other,,
77,d,a,c,b,0,1,0.5,ea,e,0.5,b,0.5,1,c,0.5,0.5,1,cb,1,ca,1,0.5,0,b,c,0.5,0.75,1,0.75,0.4,0.5,0,0.5,0.5,0.75,0.375,0.333333333,0.25,0.625,0.5,0.5,N,,Other,Non-ritual,,
78,d,a,c,b,0,1,0.5,ea,e,0.5,b,0.5,0.5,cf,0.5,0,1,c,1,ca,0.5,0,0,cb,c,0,1,1,1,0.4,0.5,0.666666667,0.666666667,1,1,0.375,0.666666667,1,1,0.75,0.5,N,,Ceremonial,Healing,,
79,d,a,a,,0,1,0,a,,,,0.5,0,a,0,0,0,,,,1,0,0,c,c,0,0.25,0.75,1,0.4,0.75,0,1,1,1,0.5,0.333333333,0.75,1,0.25,0.5,N,,Ceremonial,Unknown,,
80,a,,,,,0,0,b,,,,0,0,a,0,1,0.5,ac,1,ca,0,1,1,c,b,1,0.5,0.5,1,0,0.25,0,0.666666667,1,1,0.5,0.666666667,1,1,0.5,1,N,,Ceremonial,Unknown,,
81,d,a,a,,0,1,0.5,e,e,0.5,b,0.5,1,ec,0,0,1,c,1,ca,1,0.5,0,db,a,,0.75,1,1,0.4,0.5,0.666666667,0.666666667,1,1,0.625,0.666666667,0.75,1,0.5,0.5,N,,Work,Unknown,,
